Driven_Wheels,Engine Fuel Type,Engine HP,Market Category,Number of Doors,Popularity,_id,city mpg,highway MPG,isDeleted,make,model,price,release_date,size,style,transmission_type,updatedAt
rear wheel drive,premium unleaded (required),300,"Luxury,Performance",2,3916,63da94561e713e44ab97759f,19,28,false,BMW,1 Series,44400,2013,Compact,Convertible,MANUAL,
rear wheel drive,premium unleaded (required),230,Luxury,2,3916,63da94561e713e44ab9775a0,19,28,false,BMW,1 Series,37200,2013,Compact,Convertible,MANUAL,
rear wheel drive,premium unleaded (required),230,"Luxury,Performance",2,3916,63da94561e713e44ab9775a1,19,28,false,BMW,1 Series,31500,2013,Compact,Coupe,MANUAL,
rear wheel drive,premium unleaded (required),320,"Luxury,High-Performance",2,3916,63da94561e713e44ab9775a2,18,25,false,BMW,1 Series,48250,2013,Compact,Convertible,MANUAL,
rear wheel drive,premium unleaded (required),320,"Luxury,High-Performance",2,3916,63da94561e713e44ab9775a3,20,28,false,BMW,1 Series,43550,2013,Compact,Coupe,MANUAL,
front wheel drive,regular unleaded,172,Luxury,4,3105,63da94561e713e44ab9775a4,17,24,false,Audi,100,2000,1992,Midsize,Sedan,MANUAL,
front wheel drive,regular unleaded,172,Luxury,4,3105,63da94561e713e44ab9775a5,17,24,false,Audi,100,2000,1992,Midsize,Sedan,MANUAL,
all wheel drive,regular unleaded,172,Luxury,4,3105,63da94561e713e44ab9775a6,16,20,false,Audi,100,2000,1992,Midsize,Wagon,AUTOMATIC,
front wheel drive,regular unleaded,172,Luxury,4,3105,63da94561e713e44ab9775a7,17,24,false,Audi,100,2000,1992,Midsize,Sedan,MANUAL,
all wheel drive,regular unleaded,172,Luxury,4,3105,63da94561e713e44ab9775a8,16,21,false,Audi,100,2000,1992,Midsize,Sedan,MANUAL,
front wheel drive,regular unleaded,172,Luxury,4,3105,63da94561e713e44ab9775a9,17,24,false,Audi,100,2000,1993,Midsize,Sedan,MANUAL,
all wheel drive,regular unleaded,172,Luxury,4,3105,63da94561e713e44ab9775aa,16,20,false,Audi,100,2000,1993,Midsize,Wagon,AUTOMATIC,
front wheel drive,regular unleaded,172,Luxury,4,3105,63da94561e713e44ab9775ab,17,24,false,Audi,100,2000,1993,Midsize,Sedan,MANUAL,
front wheel drive,regular unleaded,172,Luxury,4,3105,63da94561e713e44ab9775ac,17,24,false,Audi,100,2000,1993,Midsize,Sedan,MANUAL,
all wheel drive,regular unleaded,172,Luxury,4,3105,63da94561e713e44ab9775ad,16,21,false,Audi,100,2000,1993,Midsize,Sedan,MANUAL,
front wheel drive,regular unleaded,172,Luxury,4,3105,63da94561e713e44ab9775ae,16,21,false,Audi,100,2000,1994,Midsize,Wagon,AUTOMATIC,
all wheel drive,regular unleaded,172,Luxury,4,3105,63da94561e713e44ab9775af,16,22,false,Audi,100,2000,1994,Midsize,Sedan,MANUAL,
front wheel drive,regular unleaded,172,Luxury,4,3105,63da94561e713e44ab9775b0,17,22,false,Audi,100,2000,1994,Midsize,Sedan,MANUAL,
front wheel drive,regular unleaded,172,Luxury,4,3105,63da94561e713e44ab9775b1,16,22,false,Audi,100,2000,1994,Midsize,Sedan,AUTOMATIC,
all wheel drive,regular unleaded,172,Luxury,4,3105,63da94561e713e44ab9775b2,16,21,false,Audi,100,2000,1994,Midsize,Wagon,AUTOMATIC,
rear wheel drive,premium unleaded (recommended),160,Performance,2,819,63da94561e713e44ab9775b3,26,35,false,FIAT,124 Spider,27495,2017,Compact,Convertible,MANUAL,
rear wheel drive,premium unleaded (recommended),160,Performance,2,819,63da94561e713e44ab9775b4,26,35,false,FIAT,124 Spider,24995,2017,Compact,Convertible,MANUAL,
rear wheel drive,premium unleaded (recommended),160,Performance,2,819,63da94561e713e44ab9775b5,26,35,false,FIAT,124 Spider,28195,2017,Compact,Convertible,MANUAL,
rear wheel drive,regular unleaded,130,Luxury,4,617,63da94561e713e44ab9775b6,18,26,false,Mercedes-Benz,190-Class,2000,1991,Compact,Sedan,MANUAL,
rear wheel drive,regular unleaded,158,Luxury,4,617,63da94561e713e44ab9775b7,17,25,false,Mercedes-Benz,190-Class,2000,1991,Compact,Sedan,MANUAL,
rear wheel drive,regular unleaded,158,Luxury,4,617,63da94561e713e44ab9775b8,17,25,false,Mercedes-Benz,190-Class,2000,1992,Compact,Sedan,MANUAL,
rear wheel drive,regular unleaded,130,Luxury,4,617,63da94561e713e44ab9775b9,18,26,false,Mercedes-Benz,190-Class,2000,1992,Compact,Sedan,MANUAL,
rear wheel drive,regular unleaded,130,Luxury,4,617,63da94561e713e44ab9775ba,18,26,false,Mercedes-Benz,190-Class,2000,1993,Compact,Sedan,MANUAL,
rear wheel drive,regular unleaded,158,Luxury,4,617,63da94561e713e44ab9775bb,17,25,false,Mercedes-Benz,190-Class,2000,1993,Compact,Sedan,MANUAL,
rear wheel drive,premium unleaded (required),240,"Luxury,Performance",2,3916,63da94561e713e44ab9775bc,23,35,false,BMW,2 Series,32850,2016,Compact,Coupe,AUTOMATIC,
rear wheel drive,premium unleaded (required),240,Luxury,2,3916,63da94561e713e44ab9775bd,23,34,false,BMW,2 Series,38650,2016,Compact,Convertible,AUTOMATIC,
rear wheel drive,premium unleaded (required),320,"Factory Tuner,Luxury,High-Performance",2,3916,63da94561e713e44ab9775be,20,31,false,BMW,2 Series,48750,2016,Compact,Convertible,AUTOMATIC,
all wheel drive,premium unleaded (required),240,"Luxury,Performance",2,3916,63da94561e713e44ab9775bf,23,35,false,BMW,2 Series,34850,2016,Compact,Coupe,AUTOMATIC,
all wheel drive,premium unleaded (required),240,Luxury,2,3916,63da94561e713e44ab9775c0,22,34,false,BMW,2 Series,40650,2016,Compact,Convertible,AUTOMATIC,
rear wheel drive,premium unleaded (required),320,"Factory Tuner,Luxury,High-Performance",2,3916,63da94561e713e44ab9775c1,20,31,false,BMW,2 Series,44150,2016,Compact,Coupe,AUTOMATIC,
rear wheel drive,premium unleaded (required),240,"Luxury,Performance",2,3916,63da94561e713e44ab9775c2,22,34,false,BMW,2 Series,32850,2016,Compact,Coupe,MANUAL,
all wheel drive,premium unleaded (required),320,"Factory Tuner,Luxury,High-Performance",2,3916,63da94561e713e44ab9775c3,20,30,false,BMW,2 Series,46150,2016,Compact,Coupe,AUTOMATIC,
rear wheel drive,premium unleaded (required),320,"Factory Tuner,Luxury,High-Performance",2,3916,63da94561e713e44ab9775c4,20,30,false,BMW,2 Series,50750,2016,Compact,Convertible,AUTOMATIC,
all wheel drive,premium unleaded (recommended),335,"Factory Tuner,Luxury,High-Performance",2,3916,63da94561e713e44ab9775c5,21,31,false,BMW,2 Series,46450,2017,Compact,Coupe,AUTOMATIC,
rear wheel drive,premium unleaded (recommended),335,"Factory Tuner,Luxury,High-Performance",2,3916,63da94561e713e44ab9775c6,21,32,false,BMW,2 Series,49050,2017,Compact,Convertible,AUTOMATIC,
all wheel drive,premium unleaded (recommended),335,"Factory Tuner,Luxury,High-Performance",2,3916,63da94561e713e44ab9775c7,21,32,false,BMW,2 Series,51050,2017,Compact,Convertible,AUTOMATIC,
rear wheel drive,premium unleaded (recommended),335,"Factory Tuner,Luxury,High-Performance",2,3916,63da94561e713e44ab9775c8,21,32,false,BMW,2 Series,44450,2017,Compact,Coupe,AUTOMATIC,
rear wheel drive,premium unleaded (recommended),248,"Luxury,Performance",2,3916,63da94561e713e44ab9775c9,23,34,false,BMW,2 Series,38950,2017,Compact,Convertible,AUTOMATIC,
rear wheel drive,premium unleaded (recommended),248,"Luxury,Performance",2,3916,63da94561e713e44ab9775ca,24,35,false,BMW,2 Series,33150,2017,Compact,Coupe,AUTOMATIC,
all wheel drive,premium unleaded (recommended),248,"Luxury,Performance",2,3916,63da94561e713e44ab9775cb,24,33,false,BMW,2 Series,35150,2017,Compact,Coupe,AUTOMATIC,
all wheel drive,premium unleaded (recommended),248,Luxury,2,3916,63da94561e713e44ab9775cc,23,33,false,BMW,2 Series,40950,2017,Compact,Convertible,AUTOMATIC,
front wheel drive,regular unleaded,162,Luxury,4,3105,63da94561e713e44ab9775cd,16,20,false,Audi,200,2000,1990,Midsize,Sedan,AUTOMATIC,
all wheel drive,regular unleaded,162,Luxury,4,3105,63da94561e713e44ab9775ce,15,22,false,Audi,200,2000,1990,Midsize,Wagon,MANUAL,
all wheel drive,regular unleaded,162,Luxury,4,3105,63da94561e713e44ab9775cf,15,23,false,Audi,200,2000,1990,Midsize,Sedan,MANUAL,
all wheel drive,regular unleaded,217,"Luxury,Performance",4,3105,63da94561e713e44ab9775d0,16,22,false,Audi,200,2000,1991,Midsize,Sedan,MANUAL,
all wheel drive,regular unleaded,217,"Luxury,Performance",4,3105,63da94561e713e44ab9775d1,16,22,false,Audi,200,2000,1991,Midsize,Wagon,MANUAL,
front wheel drive,regular unleaded,162,Luxury,4,3105,63da94561e713e44ab9775d2,16,20,false,Audi,200,2000,1991,Midsize,Sedan,AUTOMATIC,
front wheel drive,flex-fuel (unleaded/E85),184,Flex Fuel,4,1013,63da94561e713e44ab9775d3,23,36,false,Chrysler,200,25170,2015,Midsize,Sedan,AUTOMATIC,
front wheel drive,flex-fuel (unleaded/E85),184,Flex Fuel,4,1013,63da94561e713e44ab9775d4,23,36,false,Chrysler,200,23950,2015,Midsize,Sedan,AUTOMATIC,
all wheel drive,flex-fuel (unleaded/E85),295,"Flex Fuel,Performance",4,1013,63da94561e713e44ab9775d5,18,29,false,Chrysler,200,29370,2015,Midsize,Sedan,AUTOMATIC,
front wheel drive,flex-fuel (unleaded/E85),184,Flex Fuel,4,1013,63da94561e713e44ab9775d6,23,36,false,Chrysler,200,21995,2015,Midsize,Sedan,AUTOMATIC,
front wheel drive,flex-fuel (unleaded/E85),184,"Flex Fuel,Performance",4,1013,63da94561e713e44ab9775d7,23,36,false,Chrysler,200,26625,2015,Midsize,Sedan,AUTOMATIC,
all wheel drive,flex-fuel (unleaded/E85),295,"Flex Fuel,Performance",4,1013,63da94561e713e44ab9775d8,18,29,false,Chrysler,200,30825,2015,Midsize,Sedan,AUTOMATIC,
front wheel drive,flex-fuel (unleaded/E85),184,Flex Fuel,4,1013,63da94561e713e44ab9775d9,23,36,false,Chrysler,200,21995,2016,Midsize,Sedan,AUTOMATIC,
front wheel drive,flex-fuel (unleaded/E85),184,Flex Fuel,4,1013,63da94561e713e44ab9775da,23,36,false,Chrysler,200,27795,2016,Midsize,Sedan,AUTOMATIC,
all wheel drive,flex-fuel (unleaded/E85),295,"Flex Fuel,Performance",4,1013,63da94561e713e44ab9775db,18,29,false,Chrysler,200,31785,2016,Midsize,Sedan,AUTOMATIC,
all wheel drive,flex-fuel (unleaded/E85),295,"Flex Fuel,Performance",4,1013,63da94561e713e44ab9775dc,18,29,false,Chrysler,200,29905,2016,Midsize,Sedan,AUTOMATIC,
front wheel drive,flex-fuel (unleaded/E85),184,Flex Fuel,4,1013,63da94561e713e44ab9775dd,23,36,false,Chrysler,200,22490,2016,Midsize,Sedan,AUTOMATIC,
front wheel drive,flex-fuel (unleaded/E85),184,Flex Fuel,4,1013,63da94561e713e44ab9775de,23,36,false,Chrysler,200,27570,2016,Midsize,Sedan,AUTOMATIC,
front wheel drive,flex-fuel (unleaded/E85),184,Flex Fuel,4,1013,63da94561e713e44ab9775df,23,36,false,Chrysler,200,25690,2016,Midsize,Sedan,AUTOMATIC,
front wheel drive,flex-fuel (unleaded/E85),184,Flex Fuel,4,1013,63da94561e713e44ab9775e0,23,36,false,Chrysler,200,24490,2016,Midsize,Sedan,AUTOMATIC,
all wheel drive,flex-fuel (unleaded/E85),295,"Flex Fuel,Performance",4,1013,63da94561e713e44ab9775e1,18,28,false,Chrysler,200,29905,2017,Midsize,Sedan,AUTOMATIC,
all wheel drive,flex-fuel (unleaded/E85),295,"Flex Fuel,Performance",4,1013,63da94561e713e44ab9775e2,18,28,false,Chrysler,200,31785,2017,Midsize,Sedan,AUTOMATIC,
front wheel drive,flex-fuel (unleaded/E85),184,Flex Fuel,4,1013,63da94561e713e44ab9775e3,23,36,false,Chrysler,200,26685,2017,Midsize,Sedan,AUTOMATIC,
front wheel drive,flex-fuel (unleaded/E85),184,Flex Fuel,4,1013,63da94561e713e44ab9775e4,23,36,false,Chrysler,200,22490,2017,Midsize,Sedan,AUTOMATIC,
front wheel drive,flex-fuel (unleaded/E85),184,Flex Fuel,4,1013,63da94561e713e44ab9775e5,23,36,false,Chrysler,200,25690,2017,Midsize,Sedan,AUTOMATIC,
all wheel drive,flex-fuel (unleaded/E85),295,"Flex Fuel,Performance",4,1013,63da94561e713e44ab9775e6,18,28,false,Chrysler,200,30900,2017,Midsize,Sedan,AUTOMATIC,
front wheel drive,flex-fuel (unleaded/E85),184,Flex Fuel,4,1013,63da94561e713e44ab9775e7,23,36,false,Chrysler,200,27795,2017,Midsize,Sedan,AUTOMATIC,
front wheel drive,flex-fuel (unleaded/E85),184,Flex Fuel,4,1013,63da94561e713e44ab9775e8,23,36,false,Chrysler,200,21995,2017,Midsize,Sedan,AUTOMATIC,
front wheel drive,flex-fuel (unleaded/E85),184,Flex Fuel,4,1013,63da94561e713e44ab9775e9,23,36,false,Chrysler,200,24490,2017,Midsize,Sedan,AUTOMATIC,
front wheel drive,regular unleaded,115,N/A,2,2009,63da94561e713e44ab9775ea,26,36,false,Nissan,200SX,2000,1996,Compact,Coupe,MANUAL,
front wheel drive,regular unleaded,115,N/A,2,2009,63da94561e713e44ab9775eb,26,36,false,Nissan,200SX,2000,1996,Compact,Coupe,MANUAL,
front wheel drive,regular unleaded,140,Performance,2,2009,63da94561e713e44ab9775ec,21,29,false,Nissan,200SX,2000,1996,Compact,Coupe,MANUAL,
front wheel drive,regular unleaded,140,Performance,2,2009,63da94561e713e44ab9775ed,21,29,false,Nissan,200SX,2000,1997,Compact,Coupe,MANUAL,
front wheel drive,regular unleaded,115,N/A,2,2009,63da94561e713e44ab9775ee,25,35,false,Nissan,200SX,2000,1997,Compact,Coupe,MANUAL,
front wheel drive,regular unleaded,115,N/A,2,2009,63da94561e713e44ab9775ef,25,35,false,Nissan,200SX,2000,1997,Compact,Coupe,MANUAL,
front wheel drive,regular unleaded,115,N/A,2,2009,63da94561e713e44ab9775f0,25,35,false,Nissan,200SX,2000,1998,Compact,Coupe,MANUAL,
front wheel drive,regular unleaded,115,N/A,2,2009,63da94561e713e44ab9775f1,25,35,false,Nissan,200SX,2000,1998,Compact,Coupe,MANUAL,
front wheel drive,regular unleaded,140,Performance,2,2009,63da94561e713e44ab9775f2,20,28,false,Nissan,200SX,2073,1998,Compact,Coupe,MANUAL,
rear wheel drive,regular unleaded,155,Performance,2,2009,63da94561e713e44ab9775f3,19,26,false,Nissan,240SX,3713,1996,Compact,Coupe,MANUAL,
rear wheel drive,regular unleaded,155,Performance,2,2009,63da94561e713e44ab9775f4,19,26,false,Nissan,240SX,3520,1996,Compact,Coupe,MANUAL,
rear wheel drive,regular unleaded,155,Performance,2,2009,63da94561e713e44ab9775f5,19,26,false,Nissan,240SX,3910,1997,Compact,Coupe,MANUAL,
rear wheel drive,regular unleaded,155,Performance,2,2009,63da94561e713e44ab9775f6,19,26,false,Nissan,240SX,4182,1997,Compact,Coupe,MANUAL,
rear wheel drive,regular unleaded,155,Performance,2,2009,63da94561e713e44ab9775f7,19,26,false,Nissan,240SX,4107,1997,Compact,Coupe,MANUAL,
rear wheel drive,regular unleaded,155,Performance,2,2009,63da94561e713e44ab9775f8,20,25,false,Nissan,240SX,4299,1998,Compact,Coupe,MANUAL,
rear wheel drive,regular unleaded,155,Performance,2,2009,63da94561e713e44ab9775f9,20,25,false,Nissan,240SX,4693,1998,Compact,Coupe,MANUAL,
rear wheel drive,regular unleaded,155,Performance,2,2009,63da94561e713e44ab9775fa,20,25,false,Nissan,240SX,4107,1998,Compact,Coupe,MANUAL,
rear wheel drive,regular unleaded,114,Luxury,4,870,63da94561e713e44ab9775fb,19,26,false,Volvo,240,2000,1991,Midsize,Wagon,MANUAL,
rear wheel drive,regular unleaded,114,Luxury,4,870,63da94561e713e44ab9775fc,18,23,false,Volvo,240,2000,1991,Midsize,Wagon,AUTOMATIC,
rear wheel drive,regular unleaded,114,Luxury,4,870,63da94561e713e44ab9775fd,19,26,false,Volvo,240,2000,1991,Midsize,Sedan,MANUAL,
rear wheel drive,regular unleaded,114,Luxury,4,870,63da94561e713e44ab9775fe,19,26,false,Volvo,240,2000,1992,Midsize,Sedan,MANUAL,
rear wheel drive,regular unleaded,114,Luxury,4,870,63da94561e713e44ab9775ff,19,26,false,Volvo,240,2000,1992,Midsize,Wagon,MANUAL,
rear wheel drive,regular unleaded,114,Luxury,4,870,63da94561e713e44ab977600,19,26,false,Volvo,240,2000,1992,Midsize,Sedan,MANUAL,
rear wheel drive,regular unleaded,114,Luxury,4,870,63da94561e713e44ab977601,19,26,false,Volvo,240,2000,1993,Midsize,Sedan,MANUAL,
rear wheel drive,regular unleaded,114,Luxury,4,870,63da94561e713e44ab977602,18,25,false,Volvo,240,2000,1993,Midsize,Wagon,MANUAL,
front wheel drive,regular unleaded,100,Hatchback,4,586,63da94561e713e44ab977603,29,35,false,Mazda,2,16020,2012,Compact,4dr Hatchback,MANUAL,
front wheel drive,regular unleaded,100,Hatchback,4,586,63da94561e713e44ab977604,29,35,false,Mazda,2,14530,2012,Compact,4dr Hatchback,MANUAL,
front wheel drive,regular unleaded,100,Hatchback,4,586,63da94561e713e44ab977605,28,34,false,Mazda,2,16860,2012,Compact,4dr Hatchback,AUTOMATIC,
front wheel drive,regular unleaded,100,Hatchback,4,586,63da94561e713e44ab977606,28,34,false,Mazda,2,15370,2012,Compact,4dr Hatchback,AUTOMATIC,
front wheel drive,regular unleaded,100,Hatchback,4,586,63da94561e713e44ab977607,28,34,false,Mazda,2,17050,2013,Compact,4dr Hatchback,AUTOMATIC,
front wheel drive,regular unleaded,100,Hatchback,4,586,63da94561e713e44ab977608,28,34,false,Mazda,2,15560,2013,Compact,4dr Hatchback,AUTOMATIC,
front wheel drive,regular unleaded,100,Hatchback,4,586,63da94561e713e44ab977609,29,35,false,Mazda,2,16210,2013,Compact,4dr Hatchback,MANUAL,
front wheel drive,regular unleaded,100,Hatchback,4,586,63da94561e713e44ab97760a,29,35,false,Mazda,2,14720,2013,Compact,4dr Hatchback,MANUAL,
front wheel drive,regular unleaded,100,Hatchback,4,586,63da94561e713e44ab97760b,28,34,false,Mazda,2,17050,2014,Compact,4dr Hatchback,AUTOMATIC,
front wheel drive,regular unleaded,100,Hatchback,4,586,63da94561e713e44ab97760c,28,34,false,Mazda,2,15560,2014,Compact,4dr Hatchback,AUTOMATIC,
front wheel drive,regular unleaded,100,Hatchback,4,586,63da94561e713e44ab97760d,29,35,false,Mazda,2,16210,2014,Compact,4dr Hatchback,MANUAL,
front wheel drive,regular unleaded,100,Hatchback,4,586,63da94561e713e44ab97760e,29,35,false,Mazda,2,14720,2014,Compact,4dr Hatchback,MANUAL,
all wheel drive,premium unleaded (required),300,"Hatchback,Luxury,Performance",4,3916,63da94561e713e44ab97760f,20,30,false,BMW,3 Series Gran Turismo,47250,2015,Midsize,4dr Hatchback,AUTOMATIC,
all wheel drive,premium unleaded (required),240,"Hatchback,Luxury",4,3916,63da94561e713e44ab977610,22,33,false,BMW,3 Series Gran Turismo,41850,2015,Midsize,4dr Hatchback,AUTOMATIC,
all wheel drive,premium unleaded (required),240,"Hatchback,Luxury",4,3916,63da94561e713e44ab977611,22,33,false,BMW,3 Series Gran Turismo,41850,2015,Midsize,4dr Hatchback,AUTOMATIC,
all wheel drive,premium unleaded (required),240,"Hatchback,Luxury",4,3916,63da94561e713e44ab977612,22,34,false,BMW,3 Series Gran Turismo,43000,2016,Midsize,4dr Hatchback,AUTOMATIC,
all wheel drive,premium unleaded (required),300,"Hatchback,Luxury,Performance",4,3916,63da94561e713e44ab977613,20,30,false,BMW,3 Series Gran Turismo,49200,2016,Midsize,4dr Hatchback,AUTOMATIC,
all wheel drive,premium unleaded (required),320,"Hatchback,Luxury,Performance",4,3916,63da94561e713e44ab977614,20,30,false,BMW,3 Series Gran Turismo,49650,2017,Midsize,4dr Hatchback,AUTOMATIC,
all wheel drive,premium unleaded (required),248,"Hatchback,Luxury",4,3916,63da94561e713e44ab977615,23,33,false,BMW,3 Series Gran Turismo,43950,2017,Midsize,4dr Hatchback,AUTOMATIC,
all wheel drive,premium unleaded (required),241,Luxury,4,3916,63da94561e713e44ab977616,22,33,false,BMW,3 Series,41950,2015,Midsize,Wagon,AUTOMATIC,
rear wheel drive,premium unleaded (required),335,"Luxury,High-Performance,Hybrid",4,3916,63da94561e713e44ab977617,25,33,false,BMW,3 Series,50150,2015,Midsize,Sedan,AUTOMATIC,
rear wheel drive,premium unleaded (required),240,"Luxury,Performance",4,3916,63da94561e713e44ab977618,23,35,false,BMW,3 Series,37500,2015,Midsize,Sedan,AUTOMATIC,
rear wheel drive,premium unleaded (required),300,"Luxury,High-Performance",4,3916,63da94561e713e44ab977619,21,32,false,BMW,3 Series,43750,2015,Midsize,Sedan,AUTOMATIC,
rear wheel drive,diesel,180,"Diesel,Luxury",4,3916,63da94561e713e44ab97761a,32,45,false,BMW,3 Series,39000,2015,Midsize,Sedan,AUTOMATIC,
all wheel drive,premium unleaded (required),240,Luxury,4,3916,63da94561e713e44ab97761b,22,33,false,BMW,3 Series,39500,2015,Midsize,Sedan,AUTOMATIC,
all wheel drive,premium unleaded (required),240,Luxury,4,3916,63da94561e713e44ab97761c,22,33,false,BMW,3 Series,39500,2015,Midsize,Sedan,AUTOMATIC,
all wheel drive,premium unleaded (required),180,Luxury,4,3916,63da94561e713e44ab97761d,23,35,false,BMW,3 Series,34950,2015,Midsize,Sedan,AUTOMATIC,
all wheel drive,premium unleaded (required),300,"Luxury,Performance",4,3916,63da94561e713e44ab97761e,20,30,false,BMW,3 Series,45750,2015,Midsize,Sedan,AUTOMATIC,
all wheel drive,diesel,180,"Diesel,Luxury",4,3916,63da94561e713e44ab97761f,31,43,false,BMW,3 Series,43450,2015,Midsize,Wagon,AUTOMATIC,
rear wheel drive,premium unleaded (required),240,"Luxury,Performance",4,3916,63da94561e713e44ab977620,23,35,false,BMW,3 Series,37500,2015,Midsize,Sedan,AUTOMATIC,
all wheel drive,diesel,180,"Diesel,Luxury",4,3916,63da94561e713e44ab977621,31,43,false,BMW,3 Series,41000,2015,Midsize,Sedan,AUTOMATIC,
rear wheel drive,premium unleaded (required),180,Luxury,4,3916,63da94561e713e44ab977622,24,36,false,BMW,3 Series,32950,2015,Midsize,Sedan,AUTOMATIC,
all wheel drive,diesel,180,"Diesel,Luxury",4,3916,63da94561e713e44ab977623,30,40,false,BMW,3 Series,41850,2016,Midsize,Sedan,AUTOMATIC,
all wheel drive,premium unleaded (required),320,"Luxury,High-Performance",4,3916,63da94561e713e44ab977624,22,33,false,BMW,3 Series,47800,2016,Midsize,Sedan,AUTOMATIC,
rear wheel drive,diesel,180,"Diesel,Luxury",4,3916,63da94561e713e44ab977625,32,42,false,BMW,3 Series,39850,2016,Midsize,Sedan,AUTOMATIC,
rear wheel drive,premium unleaded (required),240,"Luxury,Performance",4,3916,63da94561e713e44ab977626,22,34,false,BMW,3 Series,38350,2016,Midsize,Sedan,AUTOMATIC,
all wheel drive,premium unleaded (required),240,Luxury,4,3916,63da94561e713e44ab977627,22,34,false,BMW,3 Series,40350,2016,Midsize,Sedan,AUTOMATIC,
rear wheel drive,premium unleaded (required),240,"Luxury,Performance",4,3916,63da94561e713e44ab977628,22,34,false,BMW,3 Series,38350,2016,Midsize,Sedan,MANUAL,
all wheel drive,premium unleaded (required),240,Luxury,4,3916,63da94561e713e44ab977629,22,34,false,BMW,3 Series,42650,2016,Midsize,Wagon,AUTOMATIC,
rear wheel drive,premium unleaded (required),180,Luxury,4,3916,63da94561e713e44ab97762a,24,36,false,BMW,3 Series,33150,2016,Midsize,Sedan,AUTOMATIC,
all wheel drive,premium unleaded (required),180,Luxury,4,3916,63da94561e713e44ab97762b,23,35,false,BMW,3 Series,35150,2016,Midsize,Sedan,AUTOMATIC,
all wheel drive,diesel,180,"Diesel,Luxury",4,3916,63da94561e713e44ab97762c,30,40,false,BMW,3 Series,44150,2016,Midsize,Wagon,AUTOMATIC,
rear wheel drive,premium unleaded (required),320,"Luxury,High-Performance",4,3916,63da94561e713e44ab97762d,22,33,false,BMW,3 Series,45800,2016,Midsize,Sedan,AUTOMATIC,
rear wheel drive,premium unleaded (recommended),248,"Luxury,Performance",4,3916,63da94561e713e44ab97762e,23,34,false,BMW,3 Series,38750,2017,Midsize,Sedan,AUTOMATIC,
all wheel drive,premium unleaded (recommended),180,Luxury,4,3916,63da94561e713e44ab97762f,23,34,false,BMW,3 Series,35450,2017,Midsize,Sedan,AUTOMATIC,
rear wheel drive,premium unleaded (recommended),180,Luxury,4,3916,63da94561e713e44ab977630,23,35,false,BMW,3 Series,33450,2017,Midsize,Sedan,AUTOMATIC,
all wheel drive,premium unleaded (recommended),248,Luxury,4,3916,63da94561e713e44ab977631,23,33,false,BMW,3 Series,40750,2017,Midsize,Sedan,AUTOMATIC,
all wheel drive,diesel,180,"Diesel,Luxury",4,3916,63da94561e713e44ab977632,30,40,false,BMW,3 Series,42250,2017,Midsize,Sedan,AUTOMATIC,
